Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2025-11-15,6:00 PM,7:00 PM,New Jersey Devils,,Washington Capitals,,Scheduled
2025-11-15,6:00 PM,7:00 PM,Edmonton Oilers,,Carolina Hurricanes,,Scheduled
2025-11-15,6:00 PM,7:00 PM,New York Rangers,,Columbus Blue Jackets,,Scheduled
2025-11-15,6:00 PM,7:00 PM,Toronto Maple Leafs,,Chicago Blackhawks,,Scheduled
2025-11-15,7:00 PM,8:00 PM,Vegas Golden Knights,,St. Louis Blues,,Scheduled
2025-11-15,7:00 PM,8:00 PM,Philadelphia Flyers,,Dallas Stars,,Scheduled
2025-11-15,9:00 PM,10:00 PM,Winnipeg Jets,,Calgary Flames,,Scheduled
2025-11-15,9:00 PM,10:00 PM,San Jose Sharks,,Seattle Kraken,,Scheduled
2025-11-16,8:00 AM,9:00 AM,Nashville Predators,,Pittsburgh Penguins,,Scheduled
2025-11-16,4:00 PM,5:00 PM,Vancouver Canucks,,Tampa Bay Lightning,,Scheduled
2025-11-16,5:00 PM,6:00 PM,Vegas Golden Knights,,Minnesota Wild,,Scheduled
2025-11-16,6:00 PM,7:00 PM,Detroit Red Wings,,New York Rangers,,Scheduled
2025-11-16,8:00 PM,9:00 PM,New York Islanders,,Colorado Avalanche,,Scheduled
2025-11-17,6:00 PM,7:00 PM,Carolina Hurricanes,,Boston Bruins,,Scheduled
2025-11-17,6:00 PM,7:00 PM,Edmonton Oilers,,Buffalo Sabres,,Scheduled
2025-11-17,6:00 PM,7:00 PM,Vancouver Canucks,,Florida Panthers,,Scheduled
2025-11-17,6:00 PM,7:00 PM,Los Angeles Kings,,Washington Capitals,,Scheduled
2025-11-17,6:30 PM,7:30 PM,Montreal Canadiens,,Columbus Blue Jackets,,Scheduled
2025-11-17,9:00 PM,10:00 PM,Utah Mammoth,,Anaheim Ducks,,Scheduled
2025-11-18,6:00 PM,7:00 PM,St. Louis Blues,,Toronto Maple Leafs,,Scheduled
2025-11-18,6:00 PM,7:00 PM,Seattle Kraken,,Detroit Red Wings,,Scheduled
2025-11-18,6:00 PM,7:00 PM,New Jersey Devils,,Tampa Bay Lightning,,Scheduled
2025-11-18,7:00 PM,8:00 PM,New York Islanders,,Dallas Stars,,Scheduled
2025-11-18,7:00 PM,8:00 PM,Columbus Blue Jackets,,Winnipeg Jets,,Scheduled
2025-11-18,7:30 PM,8:30 PM,Calgary Flames,,Chicago Blackhawks,,Scheduled
2025-11-18,9:00 PM,10:00 PM,New York Rangers,,Vegas Golden Knights,,Scheduled
2025-11-18,9:00 PM,10:00 PM,Utah Mammoth,,San Jose Sharks,,Scheduled
2025-11-19,6:00 PM,7:00 PM,Edmonton Oilers,,Washington Capitals,,Scheduled
2025-11-19,6:30 PM,7:30 PM,Calgary Flames,,Buffalo Sabres,,Scheduled
2025-11-19,8:30 PM,9:30 PM,Carolina Hurricanes,,Minnesota Wild,,Scheduled
2025-11-19,9:00 PM,10:00 PM,Boston Bruins,,Anaheim Ducks,,Scheduled
2025-11-20,6:00 PM,7:00 PM,Columbus Blue Jackets,,Toronto Maple Leafs,,Scheduled
2025-11-20,6:00 PM,7:00 PM,Washington Capitals,,Montreal Canadiens,,Scheduled
2025-11-20,6:00 PM,7:00 PM,New York Islanders,,Detroit Red Wings,,Scheduled
2025-11-20,6:00 PM,7:00 PM,Edmonton Oilers,,Tampa Bay Lightning,,Scheduled
2025-11-20,6:00 PM,7:00 PM,New Jersey Devils,,Florida Panthers,,Scheduled
2025-11-20,6:00 PM,7:00 PM,St. Louis Blues,,Philadelphia Flyers,,Scheduled
2025-11-20,7:00 PM,8:00 PM,Seattle Kraken,,Chicago Blackhawks,,Scheduled
2025-11-20,8:00 PM,9:00 PM,New York Rangers,,Colorado Avalanche,,Scheduled
2025-11-20,8:00 PM,9:00 PM,Vegas Golden Knights,,Utah Mammoth,,Scheduled
2025-11-20,9:00 PM,10:00 PM,Dallas Stars,,Vancouver Canucks,,Scheduled
2025-11-20,9:00 PM,10:00 PM,Ottawa Senators,,Anaheim Ducks,,Scheduled
2025-11-20,9:00 PM,10:00 PM,Los Angeles Kings,,San Jose Sharks,,Scheduled
2025-11-21,6:00 PM,7:00 PM,Chicago Blackhawks,,Buffalo Sabres,,Scheduled
2025-11-21,6:00 PM,7:00 PM,Minnesota Wild,,Pittsburgh Penguins,,Scheduled
2025-11-21,7:00 PM,8:00 PM,Carolina Hurricanes,,Winnipeg Jets,,Scheduled
2025-11-21,9:30 PM,10:30 PM,Boston Bruins,,Los Angeles Kings,,Scheduled
2025-11-22,12:00 PM,1:00 PM,Columbus Blue Jackets,,Detroit Red Wings,,Scheduled
2025-11-22,2:30 PM,3:30 PM,St. Louis Blues,,New York Islanders,,Scheduled
2025-11-22,6:00 PM,7:00 PM,Toronto Maple Leafs,,Montreal Canadiens,,Scheduled
2025-11-22,6:00 PM,7:00 PM,Edmonton Oilers,,Florida Panthers,,Scheduled
2025-11-22,6:00 PM,7:00 PM,New Jersey Devils,,Philadelphia Flyers,,Scheduled
2025-11-22,6:00 PM,7:00 PM,Seattle Kraken,,Pittsburgh Penguins,,Scheduled
2025-11-22,6:00 PM,7:00 PM,Tampa Bay Lightning,,Washington Capitals,,Scheduled
2025-11-22,6:00 PM,7:00 PM,Ottawa Senators,,San Jose Sharks,,Scheduled
2025-11-22,7:00 PM,8:00 PM,Colorado Avalanche,,Nashville Predators,,Scheduled
2025-11-22,8:00 PM,9:00 PM,New York Rangers,,Utah Mammoth,,Scheduled
2025-11-22,9:00 PM,10:00 PM,Dallas Stars,,Calgary Flames,,Scheduled
2025-11-22,9:00 PM,10:00 PM,Vegas Golden Knights,,Anaheim Ducks,,Scheduled
2025-11-23,12:00 PM,1:00 PM,Carolina Hurricanes,,Buffalo Sabres,,Scheduled
2025-11-23,3:00 PM,4:00 PM,Minnesota Wild,,Winnipeg Jets,,Scheduled
2025-11-23,4:00 PM,5:00 PM,Seattle Kraken,,New York Islanders,,Scheduled
2025-11-23,6:00 PM,7:00 PM,Colorado Avalanche,,Chicago Blackhawks,,Scheduled
2025-11-23,7:00 PM,8:00 PM,Boston Bruins,,San Jose Sharks,,Scheduled
2025-11-23,8:00 PM,9:00 PM,Calgary Flames,,Vancouver Canucks,,Scheduled
2025-11-24,6:00 PM,7:00 PM,Philadelphia Flyers,,Tampa Bay Lightning,,Scheduled
2025-11-24,6:00 PM,7:00 PM,Detroit Red Wings,,New Jersey Devils,,Scheduled
2025-11-24,6:00 PM,7:00 PM,St. Louis Blues,,New York Rangers,,Scheduled
2025-11-24,6:00 PM,7:00 PM,Columbus Blue Jackets,,Washington Capitals,,Scheduled
2025-11-24,7:00 PM,8:00 PM,Florida Panthers,,Nashville Predators,,Scheduled
2025-11-24,8:00 PM,9:00 PM,Vegas Golden Knights,,Utah Mammoth,,Scheduled
2025-11-24,8:00 PM,9:00 PM,Ottawa Senators,,Los Angeles Kings,,Scheduled
2025-11-25,8:00 PM,9:00 PM,Dallas Stars,,Edmonton Oilers,,Scheduled
2025-11-26,6:00 PM,7:00 PM,Nashville Predators,,Detroit Red Wings,,Scheduled
2025-11-26,6:00 PM,7:00 PM,Calgary Flames,,Tampa Bay Lightning,,Scheduled
2025-11-26,6:00 PM,7:00 PM,Philadelphia Flyers,,Florida Panthers,,Scheduled
2025-11-26,6:00 PM,7:00 PM,St. Louis Blues,,New Jersey Devils,,Scheduled
2025-11-26,6:00 PM,7:00 PM,Boston Bruins,,New York Islanders,,Scheduled
2025-11-26,6:00 PM,7:00 PM,Buffalo Sabres,,Pittsburgh Penguins,,Scheduled
2025-11-26,6:00 PM,7:00 PM,Winnipeg Jets,,Washington Capitals,,Scheduled
2025-11-26,6:00 PM,7:00 PM,New York Rangers,,Carolina Hurricanes,,Scheduled
2025-11-26,6:00 PM,7:00 PM,Toronto Maple Leafs,,Columbus Blue Jackets,,Scheduled
2025-11-26,7:30 PM,8:30 PM,Minnesota Wild,,Chicago Blackhawks,,Scheduled
2025-11-26,8:00 PM,9:00 PM,San Jose Sharks,,Colorado Avalanche,,Scheduled
2025-11-26,8:30 PM,9:30 PM,Montreal Canadiens,,Utah Mammoth,,Scheduled
2025-11-26,9:00 PM,10:00 PM,Ottawa Senators,,Vegas Golden Knights,,Scheduled
2025-11-26,9:00 PM,10:00 PM,Vancouver Canucks,,Anaheim Ducks,,Scheduled
2025-11-26,9:00 PM,10:00 PM,Dallas Stars,,Seattle Kraken,,Scheduled
2025-11-28,12:00 PM,1:00 PM,New York Rangers,,Boston Bruins,,Scheduled
2025-11-28,12:00 PM,1:00 PM,Tampa Bay Lightning,,Detroit Red Wings,,Scheduled
2025-11-28,2:30 PM,3:30 PM,Colorado Avalanche,,Minnesota Wild,,Scheduled
2025-11-28,3:00 PM,4:00 PM,New Jersey Devils,,Buffalo Sabres,,Scheduled
2025-11-28,3:00 PM,4:00 PM,Calgary Flames,,Florida Panthers,,Scheduled
2025-11-28,3:00 PM,4:00 PM,Philadelphia Flyers,,New York Islanders,,Scheduled
2025-11-28,3:00 PM,4:00 PM,Ottawa Senators,,St. Louis Blues,,Scheduled
2025-11-28,3:00 PM,4:00 PM,Montreal Canadiens,,Vegas Golden Knights,,Scheduled
2025-11-28,3:00 PM,4:00 PM,Los Angeles Kings,,Anaheim Ducks,,Scheduled
2025-11-28,3:00 PM,4:00 PM,Vancouver Canucks,,San Jose Sharks,,Scheduled
2025-11-28,4:00 PM,5:00 PM,Toronto Maple Leafs,,Washington Capitals,,Scheduled
2025-11-28,4:00 PM,5:00 PM,Winnipeg Jets,,Carolina Hurricanes,,Scheduled
2025-11-28,6:00 PM,7:00 PM,Pittsburgh Penguins,,Columbus Blue Jackets,,Scheduled
2025-11-28,7:00 PM,8:00 PM,Nashville Predators,,Chicago Blackhawks,,Scheduled
2025-11-28,8:00 PM,9:00 PM,Utah Mammoth,,Dallas Stars,,Scheduled
2025-11-29,1:00 PM,2:00 PM,Tampa Bay Lightning,,New York Rangers,,Scheduled
2025-11-29,2:00 PM,3:00 PM,Montreal Canadiens,,Colorado Avalanche,,Scheduled
2025-11-29,3:00 PM,4:00 PM,Edmonton Oilers,,Seattle Kraken,,Scheduled
2025-11-29,6:00 PM,7:00 PM,Detroit Red Wings,,Boston Bruins,,Scheduled
2025-11-29,6:00 PM,7:00 PM,Philadelphia Flyers,,New Jersey Devils,,Scheduled
2025-11-29,6:00 PM,7:00 PM,Toronto Maple Leafs,,Pittsburgh Penguins,,Scheduled
2025-11-29,6:00 PM,7:00 PM,Winnipeg Jets,,Nashville Predators,,Scheduled
2025-11-29,7:00 PM,8:00 PM,Utah Mammoth,,St. Louis Blues,,Scheduled
2025-11-29,7:00 PM,8:00 PM,Buffalo Sabres,,Minnesota Wild,,Scheduled
2025-11-29,9:00 PM,10:00 PM,San Jose Sharks,,Vegas Golden Knights,,Scheduled
2025-11-29,9:00 PM,10:00 PM,Vancouver Canucks,,Los Angeles Kings,,Scheduled
2025-11-30,12:00 PM,1:00 PM,Washington Capitals,,New York Islanders,,Scheduled
2025-11-30,2:30 PM,3:30 PM,Anaheim Ducks,,Chicago Blackhawks,,Scheduled
2025-11-30,4:00 PM,5:00 PM,Calgary Flames,,Carolina Hurricanes,,Scheduled
2025-11-30,5:00 PM,6:00 PM,Ottawa Senators,,Dallas Stars,,Scheduled
2025-12-01,6:00 PM,7:00 PM,Columbus Blue Jackets,,New Jersey Devils,,Scheduled
2025-12-01,6:00 PM,7:00 PM,Pittsburgh Penguins,,Philadelphia Flyers,,Scheduled
2025-12-01,6:30 PM,7:30 PM,Winnipeg Jets,,Buffalo Sabres,,Scheduled
2025-12-01,7:00 PM,8:00 PM,Anaheim Ducks,,St. Louis Blues,,Scheduled
2025-12-01,9:00 PM,10:00 PM,Utah Mammoth,,San Jose Sharks,,Scheduled
2025-12-02,6:00 PM,7:00 PM,Ottawa Senators,,Montreal Canadiens,,Scheduled
2025-12-02,6:00 PM,7:00 PM,Boston Bruins,,Detroit Red Wings,,Scheduled
2025-12-02,6:00 PM,7:00 PM,Toronto Maple Leafs,,Florida Panthers,,Scheduled
2025-12-02,6:00 PM,7:00 PM,Tampa Bay Lightning,,New York Islanders,,Scheduled
2025-12-02,6:00 PM,7:00 PM,Dallas Stars,,New York Rangers,,Scheduled
2025-12-02,7:00 PM,8:00 PM,Calgary Flames,,Nashville Predators,,Scheduled
2025-12-02,8:00 PM,9:00 PM,Vancouver Canucks,,Colorado Avalanche,,Scheduled
2025-12-02,8:00 PM,9:00 PM,Minnesota Wild,,Edmonton Oilers,,Scheduled
2025-12-02,9:00 PM,10:00 PM,Chicago Blackhawks,,Vegas Golden Knights,,Scheduled
2025-12-02,9:30 PM,10:30 PM,Washington Capitals,,Los Angeles Kings,,Scheduled
2025-12-03,6:00 PM,7:00 PM,Dallas Stars,,New Jersey Devils,,Scheduled
2025-12-03,6:30 PM,7:30 PM,Winnipeg Jets,,Montreal Canadiens,,Scheduled
2025-12-03,6:30 PM,7:30 PM,Buffalo Sabres,,Philadelphia Flyers,,Scheduled
2025-12-03,9:00 PM,10:00 PM,Utah Mammoth,,Anaheim Ducks,,Scheduled
2025-12-03,9:00 PM,10:00 PM,Washington Capitals,,San Jose Sharks,,Scheduled
2025-12-04,6:00 PM,7:00 PM,St. Louis Blues,,Boston Bruins,,Scheduled
2025-12-04,6:00 PM,7:00 PM,New York Rangers,,Ottawa Senators,,Scheduled
2025-12-04,6:00 PM,7:00 PM,Pittsburgh Penguins,,Tampa Bay Lightning,,Scheduled
2025-12-04,6:00 PM,7:00 PM,Nashville Predators,,Florida Panthers,,Scheduled
2025-12-04,6:00 PM,7:00 PM,Colorado Avalanche,,New York Islanders,,Scheduled
2025-12-04,6:00 PM,7:00 PM,Toronto Maple Leafs,,Carolina Hurricanes,,Scheduled
2025-12-04,6:00 PM,7:00 PM,Detroit Red Wings,,Columbus Blue Jackets,,Scheduled
2025-12-04,8:00 PM,9:00 PM,Minnesota Wild,,Calgary Flames,,Scheduled
2025-12-04,8:00 PM,9:00 PM,Seattle Kraken,,Edmonton Oilers,,Scheduled
2025-12-04,9:30 PM,10:30 PM,Chicago Blackhawks,,Los Angeles Kings,,Scheduled
2025-12-05,6:00 PM,7:00 PM,Vegas Golden Knights,,New Jersey Devils,,Scheduled
2025-12-05,6:00 PM,7:00 PM,Buffalo Sabres,,Winnipeg Jets,,Scheduled
2025-12-05,7:00 PM,8:00 PM,San Jose Sharks,,Dallas Stars,,Scheduled
2025-12-05,8:00 PM,9:00 PM,Utah Mammoth,,Vancouver Canucks,,Scheduled
2025-12-05,9:00 PM,10:00 PM,Washington Capitals,,Anaheim Ducks,,Scheduled
2025-12-06,11:30 AM,12:30 PM,Colorado Avalanche,,New York Rangers,,Scheduled
2025-12-06,2:30 PM,3:30 PM,Columbus Blue Jackets,,Florida Panthers,,Scheduled
2025-12-06,6:00 PM,7:00 PM,New Jersey Devils,,Boston Bruins,,Scheduled
2025-12-06,6:00 PM,7:00 PM,Montreal Canadiens,,Toronto Maple Leafs,,Scheduled
2025-12-06,6:00 PM,7:00 PM,St. Louis Blues,,Ottawa Senators,,Scheduled
2025-12-06,6:00 PM,7:00 PM,New York Islanders,,Tampa Bay Lightning,,Scheduled
2025-12-06,6:00 PM,7:00 PM,Nashville Predators,,Carolina Hurricanes,,Scheduled
2025-12-06,6:00 PM,7:00 PM,Utah Mammoth,,Calgary Flames,,Scheduled
2025-12-06,8:00 PM,9:00 PM,Chicago Blackhawks,,Los Angeles Kings,,Scheduled
2025-12-06,9:00 PM,10:00 PM,Winnipeg Jets,,Edmonton Oilers,,Scheduled
2025-12-06,9:00 PM,10:00 PM,Minnesota Wild,,Vancouver Canucks,,Scheduled
2025-12-06,9:00 PM,10:00 PM,Detroit Red Wings,,Seattle Kraken,,Scheduled
2025-12-07,12:00 PM,1:00 PM,Colorado Avalanche,,Philadelphia Flyers,,Scheduled
2025-12-07,4:00 PM,5:00 PM,New York Islanders,,Florida Panthers,,Scheduled
2025-12-07,4:00 PM,5:00 PM,San Jose Sharks,,Carolina Hurricanes,,Scheduled
2025-12-07,5:00 PM,6:00 PM,Pittsburgh Penguins,,Dallas Stars,,Scheduled
2025-12-07,6:00 PM,7:00 PM,St. Louis Blues,,Montreal Canadiens,,Scheduled
2025-12-07,6:00 PM,7:00 PM,Vegas Golden Knights,,New York Rangers,,Scheduled
2025-12-07,6:00 PM,7:00 PM,Columbus Blue Jackets,,Washington Capitals,,Scheduled
2025-12-07,7:00 PM,8:00 PM,Chicago Blackhawks,,Anaheim Ducks,,Scheduled
2025-12-08,6:30 PM,7:30 PM,Tampa Bay Lightning,,Toronto Maple Leafs,,Scheduled
2025-12-08,8:00 PM,9:00 PM,Los Angeles Kings,,Utah Mammoth,,Scheduled
2025-12-08,8:00 PM,9:00 PM,Buffalo Sabres,,Calgary Flames,,Scheduled
2025-12-08,9:00 PM,10:00 PM,Detroit Red Wings,,Vancouver Canucks,,Scheduled
2025-12-08,9:00 PM,10:00 PM,Minnesota Wild,,Seattle Kraken,,Scheduled
2025-12-09,6:00 PM,7:00 PM,Tampa Bay Lightning,,Montreal Canadiens,,Scheduled
2025-12-09,6:00 PM,7:00 PM,New Jersey Devils,,Ottawa Senators,,Scheduled
2025-12-09,6:00 PM,7:00 PM,Vegas Golden Knights,,New York Islanders,,Scheduled
2025-12-09,6:00 PM,7:00 PM,San Jose Sharks,,Philadelphia Flyers,,Scheduled
2025-12-09,6:00 PM,7:00 PM,Anaheim Ducks,,Pittsburgh Penguins,,Scheduled
2025-12-09,6:00 PM,7:00 PM,Columbus Blue Jackets,,Carolina Hurricanes,,Scheduled
2025-12-09,6:00 PM,7:00 PM,Boston Bruins,,St. Louis Blues,,Scheduled
2025-12-09,7:00 PM,8:00 PM,Dallas Stars,,Winnipeg Jets,,Scheduled
2025-12-09,8:00 PM,9:00 PM,Buffalo Sabres,,Edmonton Oilers,,Scheduled
2025-12-09,8:30 PM,9:30 PM,Colorado Avalanche,,Nashville Predators,,Scheduled
2025-12-10,6:30 PM,7:30 PM,New York Rangers,,Chicago Blackhawks,,Scheduled
2025-12-10,7:30 PM,8:30 PM,Detroit Red Wings,,Calgary Flames,,Scheduled
2025-12-10,9:00 PM,10:00 PM,Florida Panthers,,Utah Mammoth,,Scheduled
2025-12-10,9:00 PM,10:00 PM,Los Angeles Kings,,Seattle Kraken,,Scheduled
2025-12-11,6:00 PM,7:00 PM,San Jose Sharks,,Toronto Maple Leafs,,Scheduled
2025-12-11,6:00 PM,7:00 PM,Tampa Bay Lightning,,New Jersey Devils,,Scheduled
2025-12-11,6:00 PM,7:00 PM,Anaheim Ducks,,New York Islanders,,Scheduled
2025-12-11,6:00 PM,7:00 PM,Vegas Golden Knights,,Philadelphia Flyers,,Scheduled
2025-12-11,6:00 PM,7:00 PM,Montreal Canadiens,,Pittsburgh Penguins,,Scheduled
2025-12-11,6:00 PM,7:00 PM,Carolina Hurricanes,,Washington Capitals,,Scheduled
2025-12-11,6:00 PM,7:00 PM,Ottawa Senators,,Columbus Blue Jackets,,Scheduled
2025-12-11,7:00 PM,8:00 PM,St. Louis Blues,,Nashville Predators,,Scheduled
2025-12-11,7:00 PM,8:00 PM,Dallas Stars,,Minnesota Wild,,Scheduled
2025-12-11,7:00 PM,8:00 PM,Boston Bruins,,Winnipeg Jets,,Scheduled
2025-12-11,8:00 PM,9:00 PM,Florida Panthers,,Colorado Avalanche,,Scheduled
2025-12-11,8:00 PM,9:00 PM,Detroit Red Wings,,Edmonton Oilers,,Scheduled
2025-12-11,9:00 PM,10:00 PM,Buffalo Sabres,,Vancouver Canucks,,Scheduled
2025-12-12,7:00 PM,8:00 PM,Chicago Blackhawks,,St. Louis Blues,,Scheduled
2025-12-12,8:00 PM,9:00 PM,Seattle Kraken,,Utah Mammoth,,Scheduled
2025-12-13,11:30 AM,12:30 PM,Anaheim Ducks,,New Jersey Devils,,Scheduled
2025-12-13,1:00 PM,2:00 PM,Ottawa Senators,,Minnesota Wild,,Scheduled
2025-12-13,2:00 PM,3:00 PM,San Jose Sharks,,Pittsburgh Penguins,,Scheduled
2025-12-13,2:30 PM,3:30 PM,Tampa Bay Lightning,,New York Islanders,,Scheduled
2025-12-13,6:00 PM,7:00 PM,Edmonton Oilers,,Toronto Maple Leafs,,Scheduled
2025-12-13,6:00 PM,7:00 PM,Montreal Canadiens,,New York Rangers,,Scheduled
2025-12-13,6:00 PM,7:00 PM,Carolina Hurricanes,,Philadelphia Flyers,,Scheduled
2025-12-13,6:00 PM,7:00 PM,Vegas Golden Knights,,Columbus Blue Jackets,,Scheduled
2025-12-13,6:00 PM,7:00 PM,Washington Capitals,,Winnipeg Jets,,Scheduled
2025-12-13,7:00 PM,8:00 PM,Detroit Red Wings,,Chicago Blackhawks,,Scheduled
2025-12-13,7:00 PM,8:00 PM,Florida Panthers,,Dallas Stars,,Scheduled
2025-12-13,8:00 PM,9:00 PM,Nashville Predators,,Colorado Avalanche,,Scheduled
2025-12-13,9:00 PM,10:00 PM,Calgary Flames,,Los Angeles Kings,,Scheduled
2025-12-14,11:30 AM,12:30 PM,Vancouver Canucks,,New Jersey Devils,,Scheduled
2025-12-14,2:00 PM,3:00 PM,Utah Mammoth,,Pittsburgh Penguins,,Scheduled
2025-12-14,4:00 PM,5:00 PM,Philadelphia Flyers,,Carolina Hurricanes,,Scheduled
2025-12-14,5:00 PM,6:00 PM,Boston Bruins,,Minnesota Wild,,Scheduled
2025-12-14,6:00 PM,7:00 PM,Edmonton Oilers,,Montreal Canadiens,,Scheduled
2025-12-14,7:00 PM,8:00 PM,Buffalo Sabres,,Seattle Kraken,,Scheduled
2025-12-15,6:00 PM,7:00 PM,Florida Panthers,,Tampa Bay Lightning,,Scheduled
2025-12-15,6:00 PM,7:00 PM,Anaheim Ducks,,New York Rangers,,Scheduled
2025-12-15,6:30 PM,7:30 PM,Ottawa Senators,,Winnipeg Jets,,Scheduled
2025-12-15,7:00 PM,8:00 PM,Nashville Predators,,St. Louis Blues,,Scheduled
2025-12-15,7:00 PM,8:00 PM,Los Angeles Kings,,Dallas Stars,,Scheduled
2025-12-16,6:00 PM,7:00 PM,Utah Mammoth,,Boston Bruins,,Scheduled
2025-12-16,6:00 PM,7:00 PM,Chicago Blackhawks,,Toronto Maple Leafs,,Scheduled
2025-12-16,6:00 PM,7:00 PM,Philadelphia Flyers,,Montreal Canadiens,,Scheduled
2025-12-16,6:00 PM,7:00 PM,New York Islanders,,Detroit Red Wings,,Scheduled
2025-12-16,6:00 PM,7:00 PM,Vancouver Canucks,,New York Rangers,,Scheduled
2025-12-16,6:00 PM,7:00 PM,Edmonton Oilers,,Pittsburgh Penguins,,Scheduled
2025-12-16,6:00 PM,7:00 PM,Anaheim Ducks,,Columbus Blue Jackets,,Scheduled
2025-12-16,7:00 PM,8:00 PM,Washington Capitals,,Minnesota Wild,,Scheduled
2025-12-16,9:00 PM,10:00 PM,Calgary Flames,,San Jose Sharks,,Scheduled
2025-12-16,9:00 PM,10:00 PM,Colorado Avalanche,,Seattle Kraken,,Scheduled
2025-12-17,6:00 PM,7:00 PM,Los Angeles Kings,,Florida Panthers,,Scheduled
2025-12-17,6:30 PM,7:30 PM,Utah Mammoth,,Detroit Red Wings,,Scheduled
2025-12-17,7:00 PM,8:00 PM,Winnipeg Jets,,St. Louis Blues,,Scheduled
2025-12-17,7:00 PM,8:00 PM,Carolina Hurricanes,,Nashville Predators,,Scheduled
2025-12-17,9:00 PM,10:00 PM,New Jersey Devils,,Vegas Golden Knights,,Scheduled
2025-12-18,6:00 PM,7:00 PM,Edmonton Oilers,,Boston Bruins,,Scheduled
2025-12-18,6:00 PM,7:00 PM,Philadelphia Flyers,,Buffalo Sabres,,Scheduled
2025-12-18,6:00 PM,7:00 PM,Chicago Blackhawks,,Montreal Canadiens,,Scheduled
2025-12-18,6:00 PM,7:00 PM,Pittsburgh Penguins,,Ottawa Senators,,Scheduled
2025-12-18,6:00 PM,7:00 PM,Los Angeles Kings,,Tampa Bay Lightning,,Scheduled
2025-12-18,6:00 PM,7:00 PM,Toronto Maple Leafs,,Washington Capitals,,Scheduled
2025-12-18,6:00 PM,7:00 PM,Minnesota Wild,,Columbus Blue Jackets,,Scheduled
2025-12-18,7:00 PM,8:00 PM,New York Rangers,,St. Louis Blues,,Scheduled
2025-12-18,8:00 PM,9:00 PM,Seattle Kraken,,Calgary Flames,,Scheduled
2025-12-18,9:00 PM,10:00 PM,Dallas Stars,,San Jose Sharks,,Scheduled
2025-12-19,6:00 PM,7:00 PM,Carolina Hurricanes,,Florida Panthers,,Scheduled
2025-12-19,6:00 PM,7:00 PM,Vancouver Canucks,,New York Islanders,,Scheduled
2025-12-19,8:00 PM,9:00 PM,Winnipeg Jets,,Colorado Avalanche,,Scheduled
2025-12-19,8:00 PM,9:00 PM,New Jersey Devils,,Utah Mammoth,,Scheduled
2025-12-19,9:00 PM,10:00 PM,Dallas Stars,,Anaheim Ducks,,Scheduled
2025-12-20,11:30 AM,12:30 PM,Philadelphia Flyers,,New York Rangers,,Scheduled
2025-12-20,11:30 AM,12:30 PM,Detroit Red Wings,,Washington Capitals,,Scheduled
2025-12-20,2:00 PM,3:00 PM,Chicago Blackhawks,,Ottawa Senators,,Scheduled
2025-12-20,2:00 PM,3:00 PM,Edmonton Oilers,,Minnesota Wild,,Scheduled
2025-12-20,4:00 PM,5:00 PM,New York Islanders,,Buffalo Sabres,,Scheduled
2025-12-20,5:00 PM,6:00 PM,St. Louis Blues,,Florida Panthers,,Scheduled
2025-12-20,6:00 PM,7:00 PM,Vancouver Canucks,,Boston Bruins,,Scheduled
2025-12-20,6:00 PM,7:00 PM,Pittsburgh Penguins,,Montreal Canadiens,,Scheduled
2025-12-20,6:00 PM,7:00 PM,Carolina Hurricanes,,Tampa Bay Lightning,,Scheduled
2025-12-20,6:00 PM,7:00 PM,Toronto Maple Leafs,,Nashville Predators,,Scheduled
2025-12-20,9:00 PM,10:00 PM,Vegas Golden Knights,,Calgary Flames,,Scheduled
2025-12-20,9:00 PM,10:00 PM,Columbus Blue Jackets,,Anaheim Ducks,,Scheduled
2025-12-20,9:00 PM,10:00 PM,Seattle Kraken,,San Jose Sharks,,Scheduled
2025-12-21,12:00 PM,1:00 PM,Washington Capitals,,Detroit Red Wings,,Scheduled
2025-12-21,5:00 PM,6:00 PM,Colorado Avalanche,,Minnesota Wild,,Scheduled
2025-12-21,6:00 PM,7:00 PM,Ottawa Senators,,Boston Bruins,,Scheduled
2025-12-21,6:00 PM,7:00 PM,Buffalo Sabres,,New Jersey Devils,,Scheduled
2025-12-21,6:00 PM,7:00 PM,Montreal Canadiens,,Pittsburgh Penguins,,Scheduled
2025-12-21,6:00 PM,7:00 PM,New York Rangers,,Nashville Predators,,Scheduled
2025-12-21,6:00 PM,7:00 PM,Toronto Maple Leafs,,Dallas Stars,,Scheduled
2025-12-21,6:00 PM,7:00 PM,Winnipeg Jets,,Utah Mammoth,,Scheduled
2025-12-21,7:00 PM,8:00 PM,Vegas Golden Knights,,Edmonton Oilers,,Scheduled
2025-12-22,6:00 PM,7:00 PM,St. Louis Blues,,Tampa Bay Lightning,,Scheduled
2025-12-22,6:30 PM,7:30 PM,Vancouver Canucks,,Philadelphia Flyers,,Scheduled
2025-12-22,9:00 PM,10:00 PM,Seattle Kraken,,Anaheim Ducks,,Scheduled
2025-12-22,9:00 PM,10:00 PM,Columbus Blue Jackets,,Los Angeles Kings,,Scheduled
2025-12-23,3:00 PM,4:00 PM,Pittsburgh Penguins,,Toronto Maple Leafs,,Scheduled
2025-12-23,5:30 PM,6:30 PM,New York Rangers,,Washington Capitals,,Scheduled
